name,sector,trl2020,trl2021,trl2022,trl2023,trl2024,description,NZErationale,supplyChain,theme,keyCountries,read_more,trl_final,text
Thin shelled concrete,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Lightweighting,Thin shelled concrete",4,4,4,4,4.0,"A thin shelled concrete roof is a sandwich structure integrating buildings elements (e.g. a hydronic radiant heating and cooling system, thin film photovoltaic systems, etc.) while also serving as a lightweighted roof. The thickness of the concrete varies between 3 and 30 cm, and it withstands stress thanks to its specific shape.",More sustainable material compared to plywood.,Buildings infrastructure,Materials,"Switzerland,Canada",,4.0,"A thin shelled concrete roof is a sandwich structure integrating buildings elements (e.g. a hydronic radiant heating and cooling system, thin film photovoltaic systems, etc.) while also serving as a lightweighted roof. The thickness of the concrete varies between 3 and 30 cm, and it withstands stress thanks to its specific shape. More sustainable material compared to plywood."
Additive manufacturing for building materials,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Reducing material losses,Additive manufacturing for building materials",7,7,7,7,7.0,"The introduction of additive manufacturing (or 3D printing) in the precast concrete industry appears to be a viable solution for high repeatability over many concrete pours. 3D printing can be applied directly to the on-site construction process, reducing the environmental impact while exploring new and complicated geometries.","3D printing could reduce costs related to raw materials and to labour, while being an effective material efficiency strategy (by cutting material demand by 50%).",Buildings infrastructure,"Digitalisation,Materials",,,7.0,"The introduction of additive manufacturing (or 3D printing) in the precast concrete industry appears to be a viable solution for high repeatability over many concrete pours. 3D printing can be applied directly to the on-site construction process, reducing the environmental impact while exploring new and complicated geometries. 3D printing could reduce costs related to raw materials and to labour, while being an effective material efficiency strategy (by cutting material demand by 50%)."
Fabric formwork,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Reducing material losses,Fabric formwork",9,9,9,9,9.0,"Fabric formwork allows the design of concrete elements in a flexible way, using a soft formwork than can be shaped according to an optimised layout. It can be used for walls, columns, and elevated slab soffits (an exterior or interior architectural feature, generally the horizontal, aloft underside of any construction element).","Fabric formwork saves on average 35% of concrete compared to conventional rigid wood or steel panel formwork, but is applied in locations where site logistics might be prohibitive or experienced labour less locally available.",Buildings infrastructure,Materials,,,9.0,"Fabric formwork allows the design of concrete elements in a flexible way, using a soft formwork than can be shaped according to an optimised layout. It can be used for walls, columns, and elevated slab soffits (an exterior or interior architectural feature, generally the horizontal, aloft underside of any construction element). Fabric formwork saves on average 35% of concrete compared to conventional rigid wood or steel panel formwork, but is applied in locations where site logistics might be prohibitive or experienced labour less locally available."
Pre-casting,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Reducing material losses,Pre-casting",9,9,9,9,9.0,Precasting is the use of a reusable mould to produce a structural element in a controlled and standardised environment. The precast is then transported to the construction site to be assembled with other structural pieces.,"The use of precast concrete parts in the building sector is a practical method to create modular structure at a lower cost, allowing for a wide variety of shapes and designs. This solution could provide efficiency in the use of material, allowing for reduced material use, and also improve construction and operation efficiency. Good material properties, such as thermal insulation and weather resistance, and the possibility to recycle it make the precast concrete a key factor in the development of the building sector.",Buildings infrastructure,Materials,"United States,Japan,Singapore",,9.0,"Precasting is the use of a reusable mould to produce a structural element in a controlled and standardised environment. The precast is then transported to the construction site to be assembled with other structural pieces. The use of precast concrete parts in the building sector is a practical method to create modular structure at a lower cost, allowing for a wide variety of shapes and designs. This solution could provide efficiency in the use of material, allowing for reduced material use, and also improve construction and operation efficiency. Good material properties, such as thermal insulation and weather resistance, and the possibility to recycle it make the precast concrete a key factor in the development of the building sector."
Prefabrication,"Demand,Buildings,Buildings construction and renovation,Material efficiency,Reducing material losses,Prefabrication",9,9,9,9,9.0,Prefabrication refers to the assembly of structural building components in a controlled environment outside of the construction site. The assembled structure is then transported on site to be finalised.,Reduction of material demand and related energy expenses.,Buildings infrastructure,Materials,,,9.0,Prefabrication refers to the assembly of structural building components in a controlled environment outside of the construction site. The assembled structure is then transported on site to be finalised. Reduction of material demand and related energy expenses.
Dynamic glazing – thermochromic fenestration,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Fenestration,Dynamic glazing – thermochromic fenestration",7,7,7,7,8.0,"Passive modification of properties in terms of thermal transmittance, solar heat gains coefficient and visible transmittance due to a change in temperature.",Lower cost compared to electrochromic but lower controllability and versatility.,Heat infrastructure,,"Europe,United States",,8.0,"Passive modification of properties in terms of thermal transmittance, solar heat gains coefficient and visible transmittance due to a change in temperature. Lower cost compared to electrochromic but lower controllability and versatility."
Electrochromic fenestration,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Fenestration,Electrochromic fenestration",7,7,7,7,8.0,"Window able to change transmittance, solar heat gain coefficient and visible transmittance, energised by electrical current.",High energy saving potential.,Heat infrastructure,,Europe,,8.0,"Window able to change transmittance, solar heat gain coefficient and visible transmittance, energised by electrical current. High energy saving potential."
Highly insulating window,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Fenestration,Highly insulating window",8,8,8,8,9.0,"Window with R-values of R-5/7 achievable thanks to low emissivity coating, multi-panel, well insulated and sealed glazing assemblies, and low conductivity frames.","Broad applicability, high energy savings and improved comfort.",Heat infrastructure,,United States,,9.0,"Window with R-values of R-5/7 achievable thanks to low emissivity coating, multi-panel, well insulated and sealed glazing assemblies, and low conductivity frames. Broad applicability, high energy savings and improved comfort."
Insulation glass coating,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Fenestration,Insulation glass coating",8,8,8,8,8.0,Low emissivity film directly applied in the interior side of windows or to the external window frame to allow or prevent heat gains depending on building energy needs.,"Broad applicability, cost competitive when mature, and provides improved comfort.",Heat infrastructure,,Europe,,8.0,"Low emissivity film directly applied in the interior side of windows or to the external window frame to allow or prevent heat gains depending on building energy needs. Broad applicability, cost competitive when mature, and provides improved comfort."
Aerogel insulation from silica or carbon,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Aerogel insulation from silica or carbon",8,8,8,8,8.0,Insulation made with synthetic porous material in which the liquid component of the gel is replaced with gas (aerogel). They can also be used as transparent insulation materials.,Energy savings associated with the very low thermal conductivity of the material.,Heat infrastructure,,United States,,8.0,Insulation made with synthetic porous material in which the liquid component of the gel is replaced with gas (aerogel). They can also be used as transparent insulation materials. Energy savings associated with the very low thermal conductivity of the material.
Air sealing,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Air sealing",9,9,9,10,9.0,"Systematic sealing of air leakages throughout the building surface (and particularly around cracks, small holes, plumbing, wiring, lighting and ductwork) to reduce heat loss and better control humidity. This needs to be coupled with appropriate ventilation.
Technologies: foam, caulk, tape or gaskets.","High energy savings potential at low cost, improved comfort, improved indoor air quality (reduced humidity, dust, pollen, etc) and increased durability (avoided moisture and condensation).",Heat infrastructure,,United States,,9.0,"Systematic sealing of air leakages throughout the building surface (and particularly around cracks, small holes, plumbing, wiring, lighting and ductwork) to reduce heat loss and better control humidity. This needs to be coupled with appropriate ventilation.
Technologies: foam, caulk, tape or gaskets. High energy savings potential at low cost, improved comfort, improved indoor air quality (reduced humidity, dust, pollen, etc) and increased durability (avoided moisture and condensation)."
Building integrated heat and moisture exchange panel,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Building integrated heat and moisture exchange panel",7,7,7,7,7.0,Achieving a thermal and humidity transfer in heat recovery ventilators by preconditioning the ventilation air in a modular system (while state-of-the art energy recovery ventilators offer low humidity exchange).,Combines benefits of energy savings from ventilation and increased insulation.,Heat infrastructure,,United States,,7.0,Achieving a thermal and humidity transfer in heat recovery ventilators by preconditioning the ventilation air in a modular system (while state-of-the art energy recovery ventilators offer low humidity exchange). Combines benefits of energy savings from ventilation and increased insulation.
Building integrated phase change materials,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Building integrated phase change materials",6,6,6,6,6.0,"Phase-change materials provide latent heat storage (i.e. at a constant temperature, by changing the material's phase) and are integrated into different building components. They enhance the building's thermal performance as heat losses are reduced.
Integration: in concrete, glazing, between structural elements, using insulation wallboards or even combined with building-integrated photovoltaic (BIPV).","The integration of phase-change materials enables greater compactness, a reduction in total system costs (through packaging) and the exploitation of synergies from the various functionalities of building components. Today, costs are still prohibitive of greater market uptake.",Heat infrastructure,Energy storage,"United Arab Emirates,Singapore,European Union",,6.0,"Phase-change materials provide latent heat storage (i.e. at a constant temperature, by changing the material's phase) and are integrated into different building components. They enhance the building's thermal performance as heat losses are reduced.
Integration: in concrete, glazing, between structural elements, using insulation wallboards or even combined with building-integrated photovoltaic (BIPV). The integration of phase-change materials enables greater compactness, a reduction in total system costs (through packaging) and the exploitation of synergies from the various functionalities of building components. Today, costs are still prohibitive of greater market uptake."
Building integrated solar thermal collector (BIST),"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Building integrated solar thermal collector (BIST)",6,6,6,6,8.0,Multi-functional energy facade that receives the solar irradiation and converts it into heat energy for the heating/cooling circuits.,"Solar thermal technologies deployed in around 400 million dwellings by 2030 in the Net Zero Emissions by 2050 Scenario.  Packaged solutions are needed to bring down costs, enhance efficiency and improve aesthetics for new houses.",Heat generation,Renewables,"European Union
",https://www.iea.org/reports/solar-thermal-technologies-deployed-in-around-400-million-dwellings-by-2030,8.0,"Multi-functional energy facade that receives the solar irradiation and converts it into heat energy for the heating/cooling circuits. Solar thermal technologies deployed in around 400 million dwellings by 2030 in the Net Zero Emissions by 2050 Scenario.  Packaged solutions are needed to bring down costs, enhance efficiency and improve aesthetics for new houses."
Double skin facade,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Double skin facade",9,9,9,9,9.0,Multiple layers of air and glazing where the air cavity is ventilated (naturally or mechanically).,"Lower energy demand thanks to increased insulation, ventilation, control of solar heat gains and daylight.",Heat infrastructure,,"Korea,European Union,United States",,9.0,"Multiple layers of air and glazing where the air cavity is ventilated (naturally or mechanically). Lower energy demand thanks to increased insulation, ventilation, control of solar heat gains and daylight."
Dynamic building envelope,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Dynamic building envelope",8,8,8,8,8.0,"Changing envelope functionality in response to the variation of climate conditions and occupant behaviour, using controllable thermal mass, ventilation, shading, heat exchanges, humidity control, etc.","Increased building flexibility and resilience, maximisation of renewable energy savings exploitation, energy savings.",Heat infrastructure,,"France,Italy,United States",,8.0,"Changing envelope functionality in response to the variation of climate conditions and occupant behaviour, using controllable thermal mass, ventilation, shading, heat exchanges, humidity control, etc. Increased building flexibility and resilience, maximisation of renewable energy savings exploitation, energy savings."
High reflectivity paint,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,High reflectivity paint",10,10,10,10,10.0,Paints that provide the same visible colour range as standard products but exploit the infra-red spectrum to reflect a greater part of the solar irradiation spectrum.,"Reduced demand for space cooling, broad applicability.",Heat infrastructure,,"Asia Pacific,United States",https://www.iea.org/reports/space-cooling,9.0,"Paints that provide the same visible colour range as standard products but exploit the infra-red spectrum to reflect a greater part of the solar irradiation spectrum. Reduced demand for space cooling, broad applicability."
Radiative reflective roof,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Radiative reflective roof",7,7,7,7,7.0,Sky-facing surface with optical and thermal properties for dissipating terrestrial heat to outer space.,"Reduced demand for space cooling, broad applicability.",Heat infrastructure,,"North America,Asia",,7.0,"Sky-facing surface with optical and thermal properties for dissipating terrestrial heat to outer space. Reduced demand for space cooling, broad applicability."
Structural insulated panel,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Structural insulated panel",9,9,9,9,9.0,"Structural insulated panels, oriented-strand board or side of an insulating core.","Rapid construction, reduced dependence on framing contractors, high performance and no thermal bridges.",Heat infrastructure,,United States,,9.0,"Structural insulated panels, oriented-strand board or side of an insulating core. Rapid construction, reduced dependence on framing contractors, high performance and no thermal bridges."
Transpired solar heat collectors,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Transpired solar heat collectors",9,9,9,9,9.0,"Perforated wall panel that draws the air heated by the sun through perforations into a cavity. Heat calories are then driven into the building's ventilation system during cold days, and ejected directly into the atmosphere during warm days.","Reduction of heating demand in commercial buildings, in particular by maximising heat gains: it converts up to 80% of the sun’s radiation into warm air.",Heat infrastructure,,"United States,Canada",,9.0,"Perforated wall panel that draws the air heated by the sun through perforations into a cavity. Heat calories are then driven into the building's ventilation system during cold days, and ejected directly into the atmosphere during warm days. Reduction of heating demand in commercial buildings, in particular by maximising heat gains: it converts up to 80% of the sun’s radiation into warm air."
Trombe wall,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Trombe wall",7,7,7,7,7.0,"Storage and solar heating walls in components with high thermal mass which leads to indirect heat gains. They encompass a range of designs including classic, composite, water, solar trans-wall, fluidised and photovoltaic.","Simple configuration, high energy savings, cost-competitive when mature.",Heat infrastructure,,Europe,,7.0,"Storage and solar heating walls in components with high thermal mass which leads to indirect heat gains. They encompass a range of designs including classic, composite, water, solar trans-wall, fluidised and photovoltaic. Simple configuration, high energy savings, cost-competitive when mature."
Vacuum insulated panel,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Vacuum insulated panel",8,8,8,9,9.0,Porous core enclosed by an air-sealed air and vapour barrier that reduces heat conductivity and component thickness.,The thermal resistance of vacuum insulated panels is 5 to 10 times greater compared to other insulation materials at the same level of thickness.,Heat infrastructure,,European Union,,9.0,Porous core enclosed by an air-sealed air and vapour barrier that reduces heat conductivity and component thickness. The thermal resistance of vacuum insulated panels is 5 to 10 times greater compared to other insulation materials at the same level of thickness.
Vapour permeable walls,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building envelope,Wall, roof & façade,Vapour permeable walls",4,4,4,4,4.0,Integrating pores in building materials to control air quality and moisture by tempering incoming fresh air with low grade heat.,Heat recovery from channel-pores optimised to recover heat according to the thermal conductivity of the base material.,Heat infrastructure,,"United States,Italy,Australia",,4.0,Integrating pores in building materials to control air quality and moisture by tempering incoming fresh air with low grade heat. Heat recovery from channel-pores optimised to recover heat according to the thermal conductivity of the base material.
Building orientation for thermal performance,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Building orientation for thermal performance",11,11,11,11,11.0,"Optimal building orientation to allow solar radiation penetration in the winter and ventilation in the summer, by facing the summer wind stream.","Minimisation of heat losses, maximisation of solar gains during winter.",Heat infrastructure,,,,9.0,"Optimal building orientation to allow solar radiation penetration in the winter and ventilation in the summer, by facing the summer wind stream. Minimisation of heat losses, maximisation of solar gains during winter."
Dual flow ventilation,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Ventilation,Dual flow ventilation",11,11,11,11,11.0,Heat exchange between incoming air and exhaust streams.,"Energy savings through heat and moisture recovery, controllable heat losses compared to the randomness of natural ventilation.",Heat infrastructure,,"Europe,United States,China,Singapore",,9.0,"Heat exchange between incoming air and exhaust streams. Energy savings through heat and moisture recovery, controllable heat losses compared to the randomness of natural ventilation."
Natural ventilation,"Demand,Buildings,Buildings construction and renovation,Thermal performance,Ventilation,Natural ventilation",11,11,11,11,11.0,"Supplying air to, while removing air from, an indoor space without the support of a mechanical system, but exploiting pressure differences between the inside and outside of the building.",Broad diffusion.,Heat infrastructure,,,,9.0,"Supplying air to, while removing air from, an indoor space without the support of a mechanical system, but exploiting pressure differences between the inside and outside of the building. Broad diffusion."
Bag digester for cooking,"Demand,Buildings,Cooking,Appliance,Biofuels,Domestic biogas digester,Bag digester for cooking",10,10,10,10,10.0,Renewable based stove - fuelled with biogas from anaerobic digestion stored in a tank.,"Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality. Light bag stoves may have lower costs compared to other digesters.",Cooking infrastructure,"Bioenergy,Renewables",,,9.0,"Renewable based stove - fuelled with biogas from anaerobic digestion stored in a tank. Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality. Light bag stoves may have lower costs compared to other digesters."
Composite material digester for cooking,"Demand,Buildings,Cooking,Appliance,Biofuels,Domestic biogas digester,Composite material digester for cooking",10,10,10,10,10.0,Renewable based stove - fuelled with biogas from anaerobic digestion and made of composite materials.,"Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality.",Cooking infrastructure,"Bioenergy,Renewables",,,9.0,"Renewable based stove - fuelled with biogas from anaerobic digestion and made of composite materials. Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality."
Onsite-constructed digester for cooking,"Demand,Buildings,Cooking,Appliance,Biofuels,Domestic biogas digester,Onsite-constructed digester for cooking",10,10,10,10,10.0,Renewable based stove - fuelled with biogas from anaerobic digestion.,"Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality.",Cooking infrastructure,"Bioenergy,Renewables",,,9.0,"Renewable based stove - fuelled with biogas from anaerobic digestion. Compared to traditional food stoves, biogas reduces carbon emissions, and compared to use of solid fuels, improves indoor air quality."
Improved biomass cooking stove,"Demand,Buildings,Cooking,Appliance,Biofuels,Improved biomass cooking stove",10,10,10,10,10.0,"Also called rocket stoves, these are fuel-efficient stoves which use biomass, combusting into a well-insulated vertical chimney.",Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves.,Cooking infrastructure,"Bioenergy,Renewables",,,9.0,"Also called rocket stoves, these are fuel-efficient stoves which use biomass, combusting into a well-insulated vertical chimney. Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves."
Electric stove,"Demand,Buildings,Cooking,Appliance,Electricity,Electric stove",11,11,11,11,11.0,Vitroceramic or hot plate stove with an integrated electric resistance providing heat for cooking.,No impact on indoor air quality.,Cooking infrastructure,Electrification,,,9.0,Vitroceramic or hot plate stove with an integrated electric resistance providing heat for cooking. No impact on indoor air quality.
Induction cooking,"Demand,Buildings,Cooking,Appliance,Electricity,Induction cooking",11,11,11,11,11.0,Cooking equipment which relies on the principle of magnetic induction.,"High efficiency,  regardless of the cookware size. No impact on indoor air quality.",Cooking infrastructure,,,,9.0,"Cooking equipment which relies on the principle of magnetic induction. High efficiency,  regardless of the cookware size. No impact on indoor air quality."
Hydrogen-driven hob,"Demand,Buildings,Cooking,Appliance,Hydrogen,Hydrogen-driven hob",,,,5,5.0,A hob that uses hydrogen to produce heat. ,,"Cooking infrastructure,H2 use",Hydrogen,,https://www.iea.org/reports/global-hydrogen-review-2022,5.0,A hob that uses hydrogen to produce heat.  
Hydrogen-driven oven,"Demand,Buildings,Cooking,Appliance,Hydrogen,Hydrogen-driven oven",,,,5,5.0,An oven that uses hydrogen to produce heat.,,"Cooking infrastructure,H2 use",Hydrogen,,https://www.iea.org/reports/global-hydrogen-review-2022,5.0,An oven that uses hydrogen to produce heat. 
LPG stove,"Demand,Buildings,Cooking,Appliance,LPG stove",10,10,10,10,10.0,Cooking stove fuelled by Liquefied Petroleum Gas (LPG).,Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves,Cooking infrastructure,,,,9.0,Cooking stove fuelled by Liquefied Petroleum Gas (LPG). Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves
Solar cooking,"Demand,Buildings,Cooking,Appliance,Solar cooking",9,9,9,9,9.0,Renewable-based stove that captures and converts solar energy into heat by means of a mirrored surface.,"Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves. Higher time compared to traditional cookstoves, might require auxiliary devices.",Cooking infrastructure,,,,9.0,"Renewable-based stove that captures and converts solar energy into heat by means of a mirrored surface. Affordable and scalable fuel-efficient cookstoves that can provide several health benefits compared to open fire cooking or inefficient solid cooking stoves. Higher time compared to traditional cookstoves, might require auxiliary devices."
Active control systems,"Demand,Buildings,Heating and cooling,Control systems,Active control systems",,,7,7,8.0,"Active control systems to operate equipment avoiding grid congestions, enhancing flexibility at the system level.",Employing flexibility of electricity demand while delivering financial benefits to consumers.,Heat infrastructure,,,,8.0,"Active control systems to operate equipment avoiding grid congestions, enhancing flexibility at the system level. Employing flexibility of electricity demand while delivering financial benefits to consumers."
